"x","y","theta","k","s"
-173.09434851544933,-200.0,3.141592653589793,0.0,555.7638014574054
-179.13525940085592,-199.99999999999997,3.141592653589793,0.0,561.804712342812
-185.17617028626248,-200.0,3.141592653589793,0.0,567.8456232282185
-191.21708117166904,-200.0,3.141592653589793,0.0,573.8865341136251
-197.25799205707557,-200.0,3.141592653589793,0.0,579.9274449990316
-203.29890294248221,-200.0,3.141592653589793,0.0,585.9683558844383
-209.33981382788875,-200.0,3.141592653589793,0.0,592.0092667698449
-215.3807247132954,-200.0,3.141592653589793,0.0,598.0501776552514
-221.42163559870187,-200.0,3.141592653589793,0.0,604.091088540658
-227.4625464841084,-199.99999999999997,3.141592653589793,0.0,610.1319994260646
-233.503457369515,-200.0,3.141592653589793,0.0,616.1729103114711
-239.5443682549217,-200.00000000000003,3.141592653589793,0.0,622.2138211968778
-245.58527914032823,-199.99999999999997,3.141592653589793,0.0,628.2547320822844
-251.62618997968622,-199.9997113728822,3.1410624201478154,-0.0006981758847148078,634.2956429676909
-257.6669933936369,-199.96976731099141,3.1297189856526444,-0.0031767934159936864,640.3365538530975
-263.7059871807772,-199.82502849639337,3.1028208655813354,-0.005886630600511604,646.377464738504
-269.73574633764906,-199.46641637346445,3.058426647807473,-0.009013885363952921,652.4183756239107
-275.7365513587988,-198.78077814666614,2.993502698078363,-0.01272617484077825,658.4592865093173
-281.6661957764557,-197.6372330762966,2.90425903840794,-0.017075516254710252,664.5001973947238
-287.44568841888776,-195.89123156828734,2.787438207998413,-0.021767594333407143,670.5411082801304
-292.9466757557519,-193.40758688012434,2.643357425274823,-0.02586208049053256,676.582019165537
-297.9990184735913,-190.10806107265273,2.4827564762209136,-0.025732201382875526,682.6229300509435
-302.48223521328754,-186.06725284111815,2.3363646797902486,-0.022747206562572238,688.6638409363502
-306.367242135656,-181.44692476653864,2.2057818876194397,-0.02053767528951406,694.7047518217568
-309.64799052898593,-176.3788065997889,2.086268087894317,-0.0190985163340635,700.7456627071633
